Queries,Src,Event time,Event Type,,,Subtype,Topic,,,,,,,
september 11,MSN_impl,20010911,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
9/11,MSN_impl,20010911,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
1945 world series,AOL_expl,19451003-19451010,1: Past event (before 01/03/2006),Recurrent,1-year,5: Commemorative,6: Sports,,,,,,,
1952 world series rosters,AOL_expl,19521001-19521007,1: Past event (before 01/03/2006),Recurrent,1-year,5: Commemorative,6: Sports,,,,,,,
1978 summer commonwealth games edmonton alberta,AOL_expl,19780803-19780812,1: Past event (before 01/03/2006),Recurrent,4-year,5: Commemorative,6: Sports,,,,,,,
2001 southern home award winner,AOL_expl,20010201-20010228,1: Past event (before 01/03/2006),Non-recurrent,Planned,5: Commemorative,6: Sports,,,,,,,
2003 nba champions,AOL_expl,20030604-20030615,1: Past event (before 01/03/2006),Recurrent,1-year,5: Commemorative,6: Sports,,,,,,,
2005 world series,MSN_expl,20051022-20051026,1: Past event (before 01/05/2006),Recurrent,1-year,5: Commemorative,6: Sports,,,,,,,
2006 academy awards,AOL_expl,20060305,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 academy awards,MSN_expl,20060305,1: Past event (before 01/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 academy of country music awards,MSN_expl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 ace annual west coast salsa congress,MSN_expl,20060525-20060528,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 acm awards,MSN_expl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 all good music festival,AOL_expl,20060714-20060716,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
2006 american country music awards,MSN_expl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 baseball draft,MSN_expl,20060606-20060607,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,future event,,,,,,
2006 basketball bracket picks,AOL_expl,20060314,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,not clear,http://usatoday30.usatoday.com/sports/college/mensbasketball/tourney06/2006-03-14-bracket-wagers_x.htm,,,,,
2006 boston marathon,AOL_expl,20060417,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 california wine events,AOL_expl,20061019-20061021,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,7: Holiday,future event,,,,,,
2006 carnegie hill climbs,AOL_expl,20060414-20060415,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,7: Holiday,,,,,,,
2006 charleston cup gymnastics meet,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,Planned,2: Ongoing,6: Sports,,,,,,,
2006 cheer camps,AOL_expl,20060617-20060621,3: Future event (after 31/05/2006),Recurrent,,3: Anticipated,7: Holiday,,,,,,,
2006 classic car shows in alabama,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
2006 cma awards,MSN_expl,20061106,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
2006 country music awards,MSN_expl,20061106,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 criminal domestic violence conference,AOL_expl,20060501-20060531,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,1: News,,,,,,,
2006 daytime emmy awards,MSN_expl,20060422,1: Past event (before 01/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 easter egg roll white house,AOL_expl,20060417,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
2006 election results,AOL_expl,20061107,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,1: News,future event,,,,,,
2006 fantasy baseball,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 fantasy football,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 feis schedule,MSN_expl,20060801-20061231,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,1: News,,,,,,,
2006 fifa world cup,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 florida festivals,AOL_expl,20060324-20060402,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
